gene_symbol	gene_symbol_original	gene_symbol_corrected_reason	mult_matches	SCZ_p	SCZ_q	BPD_p	BPD_q	Vagas_PGC_SCZ_p	Vagas_PGC_BPD_p	t_product_q	hgnc_id	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit.trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	download_url	download_date
C22orf39	C22orf39	ok	NO	0.00395	0.151	0.00474	0.146	0.101	0.999	0.0364	HGNC:27012	chromosome 22 open reading frame 39	protein-coding gene	gene with protein product	Approved	22q11.21	22q11.21	MGC74441	NA	NA	NA	NA	NA	2007-12-06	NA	NA	2016-09-30	128977	ENSG00000242259	OTTHUMG00000150137	uc062blt.1	NA	NM_173793	CCDS33599|CCDS54498	Q6P5X5	NA	MGI:1919557	RGD:1595717	NA	C22orf39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
SPDYE8P	SPDYE8P	ok	NO	5.03e-5	0.0489	0.0494	0.289	NA	NA	0.0364	HGNC:33771	speedy/RINGO cell cycle regulator family member E8, pseudogene	pseudogene	pseudogene	Approved	7q11.23	07q11.23	NA	NA	NA	speedy homolog E8 (Xenopus laevis), pseudogene	Speedy/RINGO cell cycle regulator family	756	2009-02-17	NA	2013-05-08	2015-01-20	728524	ENSG00000273520	OTTHUMG00000188238	NA	NA	NR_003664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PGOHUM00000302292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
IQSEC3	IQSEC3	ok	NO	0.00973	0.197	0.00228	0.124	0.532	0.293	0.0364	HGNC:29193	IQ motif and Sec7 domain 3	protein-coding gene	gene with protein product	Approved	12p13.33	12p13.33	KIAA1110|MGC30156	NA	NA	NA	NA	NA	2004-08-27	NA	NA	2018-11-16	440073	ENSG00000120645	OTTHUMG00000167975	uc001qhu.2	AB029033	NM_001170738	CCDS31725|CCDS53728	Q9UPP2	10470851	MGI:2677208	RGD:1593191	NA	IQSEC3	612118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
CALR	CALR	ok	NO	7.54e-4	0.101	0.0227	0.221	0.0481	0.118	0.0404	HGNC:1455	calreticulin	protein-coding gene	gene with protein product	Approved	19p13.13	19p13.13	RO|SSA|cC1qR|CRT|FLJ26680	Sicca syndrome antigen A (autoantigen Ro; calreticulin)|autoantigen Ro	NA	NA	NA	NA	1990-09-10	NA	NA	2018-12-06	811	ENSG00000179218	OTTHUMG00000180574	uc002mvu.3	M84739	NM_004343	CCDS12288	P27797	2365822	MGI:88252	RGD:620288	LRG_828|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_828.xml	CALR	109091	NA	NA	NA	NA	391684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
ZBTB48	ZBTB48	ok	NO	0.0285	0.273	3.91e-4	0.0791	0.0381	0.571	0.0404	HGNC:4930	zinc finger and BTB domain containing 48	protein-coding gene	gene with protein product	Approved	1p36.31	01p36.31	ZNF855|TZAP	telomeric zinc finger-associated protein	HKR3	GLI-Kruppel family member HKR3	Zinc fingers C2H2-type|BTB domain containing	28|861	1989-05-29	2006-09-20	2006-09-20	2017-06-06	3104	ENSG00000204859	OTTHUMG00000001438	uc001anx.5	BC013573	NM_005341	CCDS84	P10074	2850480|8661141|28082411	MGI:2140248	RGD:1311581	NA	ZBTB48	165270	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
LETM1	LETM1	ok	NO	0.0241	0.258	6.39e-4	0.0849	0.38	0.831	0.0404	HGNC:6556	leucine zipper and EF-hand containing transmembrane protein 1	protein-coding gene	gene with protein product	Approved	4p16.3	04p16.3	SLC55A1	Mdm38 homolog (yeast)	NA	NA	Solute carriers|EF-hand domain containing	752|863	1998-05-13	NA	2016-02-29	2017-11-24	3954	ENSG00000168924	OTTHUMG00000121149	uc003gdv.3	AF061025	NM_012318	CCDS3355	O95202	10486213	MGI:1932557	RGD:1359678	NA	LETM1	604407	NA	NA	NA	NA	293326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
MGST3	MGST3	ok	NO	7.81e-4	0.104	0.0229	0.221	0.75	0.114	0.0404	HGNC:7064	microsomal glutathione S-transferase 3	protein-coding gene	gene with protein product	Approved	1q24.1	01q24.1	GST-III	microsomal glutathione S-transferase III|microsomal GST-3|microsomal GST-III	NA	NA	Microsomal glutathione S-transferases	1469	1997-10-16	NA	NA	2016-10-05	4259	ENSG00000143198	OTTHUMG00000034627	uc001gdf.4	AF026977	NM_004528	CCDS1249	O14880	9278457	MGI:1913697	RGD:1306373	NA	MGST3	604564	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5.1.18	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
PAK3	PAK3	ok	NO	0.0327	0.281	3.06e-4	0.0705	NA	NA	0.0404	HGNC:8592	p21 (RAC1) activated kinase 3	protein-coding gene	gene with protein product	Approved	Xq23	Xq23	hPAK3|bPAK	NA	MRX30|MRX47	mental retardation, X-linked 47|p21 (CDKN1A)-activated kinase 3|p21 protein (Cdc42/Rac)-activated kinase 3	X-linked mental retardation	103	1998-03-25	NA	2016-05-03	2016-10-05	5063	ENSG00000077264	OTTHUMG00000022202	uc010npt.2	AF068864	NM_002578	CCDS14554|CCDS48151|CCDS48152|CCDS48153	O75914	8826460|9731525	MGI:1339656	RGD:3251	NA	PAK3	300142	NA	NA	NA	NA	159942	NA	NA	NA	NA	objectId:2135	NA	NA	NA	NA	2.7.11.1	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
PPIB	PPIB	ok	NO	0.0385	0.291	1.63e-4	0.0574	0.0137	0.671	0.0404	HGNC:9255	peptidylprolyl isomerase B	protein-coding gene	gene with protein product	Approved	15q22.31	15q22.31	CYPB|OI9|PPIase|B|CYP-S1|SCYLP	cyclophilin B|peptidyl-prolyl cis-trans isomerase B|rotamase B|S-cyclophilin	NA	NA	Cyclophilin peptidylprolyl isomerases	909	1991-11-25	NA	2016-01-14	2018-12-06	5479	ENSG00000166794	OTTHUMG00000133018	uc002and.4	NA	NM_000942	CCDS10191	P23284	2000394|20089953	MGI:97750	RGD:620312	Osteogenesis Imperfecta Variant Database|https://oi.gene.le.ac.uk/home.php?select_db=PPIB|LRG_10|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_10.xml	PPIB	123841	NA	NA	NA	NA	217124	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.2.1.8	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
UGP2	UGP2	ok	NO	0.0189	0.236	0.0011	0.102	0.343	0.0453	0.0404	HGNC:12527	UDP-glucose pyrophosphorylase 2	protein-coding gene	gene with protein product	Approved	2p15	02p15	UGPP1	UTP--glucose-1-phosphate uridylyltransferase	UGP1	UDP-glucose pyrophosphorylase 1	NA	NA	2001-06-22	NA	NA	2016-10-05	7360	ENSG00000169764	OTTHUMG00000129513	uc002scm.4	NA	NM_006759	CCDS1875|CCDS42690	Q16851	NA	MGI:2183447	RGD:1310210	NA	UGP2	191760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7.7.9	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
ARHGAP44	ARHGAP44	ok	NO	0.00967	0.196	0.00304	0.134	NA	NA	0.0404	HGNC:29096	Rho GTPase activating protein 44	protein-coding gene	gene with protein product	Approved	17p12	17p12	KIAA0672|RICH-2|RICH2	NA	NA	NA	Rho GTPase activating proteins|N-BAR domain containing	721|1289	2010-08-19	NA	NA	2015-08-26	9912	ENSG00000006740	OTTHUMG00000058765	uc002gnr.5	NA	NM_014859	CCDS45616|CCDS82076|CCDS82077	Q17R89	19273615	MGI:2144423	RGD:1305664	NA	ARHGAP44	617716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
NXPH2	NXPH2	ok	NO	0.0183	0.234	0.00106	0.0998	0.101	0.242	0.0404	HGNC:8076	neurexophilin 2	protein-coding gene	gene with protein product	Approved	2q22.1	02q22.1	NPH2	NA	NA	NA	NA	NA	1999-09-16	NA	NA	2015-09-01	11249	ENSG00000144227	OTTHUMG00000153636	uc002tvi.4	AF043467	NM_007226	CCDS46421	O95156	9570794	MGI:107491	RGD:1598138	NA	NXPH2	604635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
HAUS5	HAUS5	ok	NO	0.00122	0.12	0.017	0.2	NA	NA	0.0404	HGNC:29130	HAUS augmin like complex subunit 5	protein-coding gene	gene with protein product	Approved	19q13.12	19q13.12	dgt5	NA	KIAA0841	KIAA0841	HAUS augmin like complex 	581	2004-02-09	2009-04-20	2015-11-09	2015-11-09	23354	ENSG00000249115	OTTHUMG00000048110	uc002oam.2	AB020648	NM_015302	CCDS42550	O94927	10048485|19427217	MGI:1919159	RGD:2318093	NA	HAUS5	613432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
NIPSNAP3A	NIPSNAP3A	ok	NO	0.0573	0.335	5.39e-5	0.0522	0.254	0.336	0.0404	HGNC:23619	nipsnap homolog 3A	protein-coding gene	gene with protein product	Approved	9q31.1	09q31.1	DKFZp564D177|FLJ13953|HSPC299|MGC14553	NA	NA	nipsnap homolog 3A (C. elegans)	NA	NA	2003-11-27	NA	2016-04-19	2016-10-05	25934	ENSG00000136783	OTTHUMG00000020413	uc004bch.1	BC005935	NM_015469	CCDS6760	Q9UFN0	15177564	MGI:1913786|MGI:1920648	RGD:1359688	NA	NIPSNAP3A	608871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
CYP26B1	CYP26B1	ok	NO	0.00442	0.154	0.00615	0.154	0.0789	0.65	0.0404	HGNC:20581	cytochrome P450 family 26 subfamily B member 1	protein-coding gene	gene with protein product	Approved	2p13.2	02p13.2	P450RAI-2	NA	NA	cytochrome P450, family 26, subfamily B, polypeptide 1|cytochrome P450 family 26 subfamily A member 1	Cytochrome P450 family 26	1013	2004-01-26	NA	2015-12-09	2016-10-05	56603	ENSG00000003137	OTTHUMG00000129756	uc002sih.3	NA	NM_019885	CCDS1919|CCDS62934	Q9NR63	10545224	MGI:2176159	RGD:631379	NA	CYP26B1	605207	NA	NA	NA	NA	299166	NA	NA	NA	NA	objectId:1367	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
ZNF286A	ZNF286A	ok	NO	0.0181	0.233	8.88e-4	0.0944	0.133	0.479	0.0404	HGNC:13501	zinc finger protein 286A	protein-coding gene	gene with protein product	Approved	17p12	17p12	KIAA1874	NA	ZNF286	zinc finger protein 286	Zinc fingers C2H2-type	28	2001-09-20	2007-01-05	2007-01-05	2016-10-05	57335	ENSG00000187607	OTTHUMG00000166448	uc010vwa.3	AF217226	NM_020652	CCDS11172|CCDS73997	Q9HBT8	11347906	MGI:2384758	RGD:1561950	NA	ZNF286A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	138	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
TTYH1	TTYH1	ok	NO	0.0111	0.204	0.00206	0.118	0.313	0.678	0.0404	HGNC:13476	tweety family member 1	protein-coding gene	gene with protein product	Approved	19q13.42	19q13.42	NA	NA	NA	tweety (Drosophila) homolog 1|tweety homolog 1 (Drosophila)	NA	NA	2000-09-28	NA	2013-09-02	2016-10-05	57348	ENSG00000167614	OTTHUMG00000065544	uc002qft.4	AF177909	NM_001005367	CCDS12893|CCDS33106|CCDS56102	Q9H313	10950931	MGI:1889007	RGD:1310103	NA	TTYH1	605784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
SLC38A1	SLC38A1	ok	NO	0.0172	0.229	9.65e-4	0.0975	0.318	0.469	0.0404	HGNC:13447	solute carrier family 38 member 1	protein-coding gene	gene with protein product	Approved	12q13.11	12q13.11	ATA1|NAT2|SAT1	NA	NA	solute carrier family 38, member 1	Solute carriers	752	2002-01-22	NA	2015-12-08	2015-12-08	81539	ENSG00000111371	OTTHUMG00000169470	uc001rpb.5	AF271070	NM_001077484	CCDS41774|CCDS61106	Q9H2H9	10891391	MGI:2145895	RGD:69645	NA	SLC38A1	608490	NA	NA	NA	SLC38A1	NA	NA	NA	NA	NA	objectId:1169	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
C1orf198	C1orf198	ok	NO	0.00118	0.119	0.0174	0.202	0.869	0.865	0.0404	HGNC:25900	chromosome 1 open reading frame 198	protein-coding gene	gene with protein product	Approved	1q42.2	01q42.2	FLJ14525|MGC10710|FLJ16283|DKFZp667D152|FLJ38847	NA	NA	NA	NA	NA	2006-02-15	NA	NA	2017-08-01	84886	ENSG00000119280	OTTHUMG00000037790	uc001hub.4	BC066649	NM_032800	CCDS1587|CCDS44330|CCDS44331	Q9H425	NA	MGI:1916801	RGD:1559896	NA	C1orf198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
PAPLN	PAPLN	ok	NO	0.00473	0.158	0.00617	0.154	0.145	0.0115	0.0404	HGNC:19262	papilin, proteoglycan like sulfated glycoprotein	protein-coding gene	gene with protein product	Approved	14q24.2	14q24.2	MGC50452	NA	NA	NA	I-set domain containing|ADAMTS like	593|947	2003-12-10	NA	2016-06-07	2016-06-07	89932	ENSG00000100767	OTTHUMG00000171366	uc010ttx.3	BC042057	NM_173462	CCDS32114	O95428	11076767|19734141	MGI:2386139	RGD:1311176	NA	PAPLN	617785	NA	NA	NA	NA	NA	NA	NA	I02.972	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
EMX2OS	EMX2OS	ok	NO	0.00192	0.131	0.0121	0.183	NA	NA	0.0404	HGNC:18511	EMX2 opposite strand/antisense RNA	non-coding RNA	RNA, long non-coding	Approved	10q26.11	10q26.11	NCRNA00045|EMX2-AS1	non-protein coding RNA 45	NA	empty spiracles homeobox 2 opposite strand|EMX2 opposite strand (non-protein coding)|EMX2 opposite strand/antisense RNA (non-protein coding)	Long non-coding RNAs (published)	788	2004-02-04	2011-11-14	2012-08-15	2014-10-22	196047	ENSG00000229847	OTTHUMG00000019125	uc001ldg.4	AY117034	NR_002791	NA	NA	12573261	MGI:3052329	NA	NA	NA	607637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Emx2os	NA	NA	URS000073968D	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
FRYL	FRYL	ok	NO	2.66e-4	0.0872	0.0341	0.251	0.0531	0.482	0.0404	HGNC:29127	FRY like transcription coactivator	protein-coding gene	gene with protein product	Approved	4p11	04p11	DKFZp686E205|AF4p12|MOR2	mor2 cell polarity protein homolog (S. pombe)	KIAA0826	KIAA0826|furry homolog-like (Drosophila)|FRY like	Armadillo-like helical domain containing	1492	2004-09-15	2005-11-24	2015-11-13	2016-10-05	285527	ENSG00000075539	OTTHUMG00000160608	uc003gyh.1	AL833170	NM_015030	CCDS43227	O94915	10048485|23022380	MGI:1919563	RGD:1311309	NA	FRYL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
CD81	CD81	ok	NO	0.0106	0.202	0.00312	0.135	0.394	0.952	0.0452	HGNC:1701	CD81 molecule	protein-coding gene	gene with protein product	Approved	11p15.5	11p15.5	TAPA-1|TSPAN28	NA	TAPA1	CD81 antigen (target of antiproliferative antibody 1)	CD molecules|Tetraspanins	471|768	1992-10-21	NA	2006-03-28	2018-12-06	975	ENSG00000110651	OTTHUMG00000009892	uc001lwf.2	NA	NM_004356	CCDS7734|CCDS73240	P60033	1650385	MGI:1096398	RGD:2315	LRG_142|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_142.xml	CD81	186845	NA	NA	NA	NA	235199	NA	NA	NA	NA	NA	NA	NA	CD81	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
RAB3IL1	RAB3IL1	ok	NO	0.011	0.203	0.00283	0.13	0.148	0.0163	0.0452	HGNC:9780	RAB3A interacting protein like 1	protein-coding gene	gene with protein product	Approved	11q12.2-q12.3	11q12.2-q12.3	GRAB	guanine nucleotide exchange factor for Rab3A	NA	RAB3A interacting protein (rabin3)-like 1	NA	NA	1998-07-30	NA	2016-04-26	2018-02-13	5866	ENSG00000167994	OTTHUMG00000167524	uc001nso.5	AF084557	NM_013401	CCDS8014|CCDS60809	Q8TBN0	11516400	MGI:1922010	RGD:619764	NA	RAB3IL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
RDX	RDX	ok	NO	3.25e-4	0.0924	0.0375	0.262	0.949	0.606	0.0452	HGNC:9944	radixin	protein-coding gene	gene with protein product	Approved	11q23	11q23	NA	NA	DFNB24	deafness, autosomal recessive 24	Deafness associated genes|FERM domain containing	1152|1293	1992-12-08	NA	NA	2014-11-19	5962	ENSG00000137710	OTTHUMG00000166574	uc001pku.4	BC020751	NM_002906	CCDS8343|CCDS58171|CCDS58172|CCDS58173|CCDS58174	P35241	8486357|17226784	MGI:97887	RGD:1359472	NA	RDX	179410	NA	NA	NA	NA	159272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
SUMO3	SUMO3	ok	NO	5.59e-4	0.0926	0.0289	0.238	0.863	0.331	0.0452	HGNC:11124	small ubiquitin-like modifier 3	protein-coding gene	gene with protein product	Approved	21q22.3	21q22.3	SMT3A	NA	SMT3H1	SMT3 (suppressor of mif two 3, yeast) homolog 1|SMT3 suppressor of mif two 3 homolog 3 (yeast)|SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)	NA	NA	1997-01-29	2004-05-19	2013-06-05	2015-09-09	6612	ENSG00000184900	OTTHUMG00000090256	uc002zfz.1	NA	NM_001286416	CCDS33587|CCDS68220	P55854	9119407	MGI:1336201	RGD:1561022	NA	SUMO3	602231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
TCF12	TCF12	ok	NO	0.0011	0.119	0.0217	0.219	0.48	0.115	0.0452	HGNC:11623	transcription factor 12	protein-coding gene	gene with protein product	Approved	15q21.3	15q21.3	HEB|HTF4|HsT17266|bHLHb20|p64	helix-loop-helix transcription factor 4	NA	NA	Basic helix-loop-helix proteins	420	1994-06-17	NA	2008-07-31	2018-02-20	6938	ENSG00000140262	OTTHUMG00000132047	uc002aea.4	BC050556	NM_003205	CCDS10159|CCDS10160|CCDS42042|CCDS76760|CCDS76761	Q99081	1886779	MGI:101877	RGD:3829	NA	TCF12	600480	NA	NA	NA	NA	330703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
NRN1	NRN1	ok	NO	0.0117	0.206	0.00238	0.125	0.723	0.103	0.0452	HGNC:17972	neuritin 1	protein-coding gene	gene with protein product	Approved	6p25.1	06p25.1	NRN	NA	NA	NA	NA	NA	2002-05-29	NA	NA	2014-11-19	51299	ENSG00000124785	OTTHUMG00000014184	uc032wjw.2	AF136631	NM_001278710	CCDS4495|CCDS75393	Q9NPD7	9122250	MGI:1915654	RGD:621586	NA	NRN1	607409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
SLC44A2	SLC44A2	ok	NO	0.0196	0.238	0.00125	0.107	0.0116	0.0345	0.0452	HGNC:17292	solute carrier family 44 member 2	protein-coding gene	gene with protein product	Approved	19p13.2	19p13.2	CTL2	NA	NA	solute carrier family 44 (choline transporter), member 2	Solute carriers	752	2005-09-06	NA	2016-02-17	2016-02-17	57153	ENSG00000129353	OTTHUMG00000180585	uc002mpf.4	AF070636	NM_001145056	CCDS12245|CCDS54216|CCDS86700	Q8IWA5	10677542|15715662	MGI:1915932	RGD:1309680	NA	SLC44A2	606106	NA	NA	NA	SLC44A2	NA	NA	NA	NA	NA	objectId:1205	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
PBXIP1	PBXIP1	ok	NO	0.0115	0.206	0.00267	0.129	0.124	0.0364	0.0452	HGNC:21199	PBX homeobox interacting protein 1	protein-coding gene	gene with protein product	Approved	1q21.3	01q21.3	HPIP	NA	NA	pre-B-cell leukemia transcription factor interacting protein 1|pre-B-cell leukemia homeobox interacting protein 1	NA	NA	2003-05-28	NA	2016-05-17	2016-10-05	57326	ENSG00000163346	OTTHUMG00000037369	uc001ffr.4	AF221521	NM_020524	CCDS1074|CCDS81382	Q96AQ6	7505766|10825160	MGI:2441670	RGD:1305180	NA	PBXIP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
COQ10B	COQ10B	ok	NO	0.0158	0.225	0.00163	0.114	0.00193	0.161	0.0452	HGNC:25819	coenzyme Q10B	protein-coding gene	gene with protein product	Approved	2q33.1	02q33.1	FLJ13448	NA	NA	coenzyme Q10 homolog B (yeast)|coenzyme Q10 homolog B (S. cerevisiae)	NA	NA	2006-01-13	NA	2015-06-19	2015-06-19	80219	ENSG00000115520	OTTHUMG00000132745	uc002uuh.2	AK023510	NM_025147	CCDS2319|CCDS82551|CCDS82552	Q9H8M1	NA	MGI:1915126	RGD:1359509	NA	COQ10B	NA	NA	NA	NA	NA	470122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
APOD	APOD	ok	NO	0.00368	0.149	0.00999	0.177	0.457	0.733	0.0475	HGNC:612	apolipoprotein D	protein-coding gene	gene with protein product	Approved	3q29	03q29	NA	NA	NA	NA	Apolipoproteins|Lipocalins	405|631	2001-06-22	NA	NA	2014-11-19	347	ENSG00000189058	OTTHUMG00000155854	uc003fur.2	NA	NM_001647	CCDS33925	P05090	2439269|3453108	MGI:88056	RGD:2137	NA	APOD	107740	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
BOK	BOK	ok	NO	0.002	0.131	0.0162	0.198	0.0127	0.563	0.0475	HGNC:1087	BCL2 family apoptosis regulator BOK	protein-coding gene	gene with protein product	Approved	2q37.3	02q37.3	BCL2L9|BOKL|MGC4631	NA	NA	BCL2 related ovarian killer	BCL2 family	1057	1998-01-20	NA	2018-08-15	2018-08-15	666	ENSG00000176720	OTTHUMG00000133411	uc002wbq.4	AF174487	NM_032515	CCDS2550	Q9UMX3	9356461|11034351|15102863	MGI:1858494	RGD:70984	NA	BOK	605404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
CDK4	CDK4	ok	NO	0.00229	0.136	0.016	0.197	0.662	0.829	0.0475	HGNC:1773	cyclin dependent kinase 4	protein-coding gene	gene with protein product	Approved	12q14.1	12q14.1	PSK-J3	NA	NA	NA	Cyclin dependent kinases	496	1993-07-28	NA	2016-06-08	2018-12-06	1019	ENSG00000135446	OTTHUMG00000170382	uc001spv.4	M14505	NM_000075	CCDS8953	P11802	8275715	MGI:88357	RGD:621120	LRG_490|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_490.xml	CDK4	123829	NA	NA	NA	NA	119289	NA	NA	NA	NA	objectId:1976	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
