region	gene_symbol	mult_matches	pos_hg19	chr	start	end	seqnames	width	strand	method	gene_id	gene_strand	distToGene	X3UTR	X5UTR	exon	intergenic	intron	promoter	annoClass	id	by_col	gene_symbol_uncorrected	hgnc_id	approved_symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit.trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	download_url	download_date	gene_symbol_corrected_reason
chr11:33890891-33890961	LMO2	NO	chr11:33890891-33890961	chr11	33890891	33890961	chr11	71	*	polyA	ENSG00000135363.7	-	0	0	1	1	0	0	1	strictExonic	chr11:33890891-33890961	ENSG00000135363	LMO2	HGNC:6642	LMO2	LIM domain only 2	protein-coding gene	gene with protein product	Approved	11p13	11p13	TTG2|RHOM2|RBTN2	T-cell translocation gene 2|rhombotin-like 1	RBTNL1	rhombotin-like 1	LIM domain containing	1218	1991-08-21	NA	2015-11-23	2015-11-23	4005	OTTHUMG00000157176	uc001mve.5	X61118	NM_005574	CCDS7888|CCDS44567	P25791	2034676	MGI:102811	RGD:1307101	NA	LMO2	180385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr19:8615043-8615240	MYO1F	NO	chr19:8615043-8615240	chr19	8615043	8615240	chr19	198	*	polyA	ENSG00000142347.12	-	0	0	0	1	0	0	0	strictExonic	chr19:8615043-8615240	ENSG00000142347	MYO1F	HGNC:7600	MYO1F	myosin IF	protein-coding gene	gene with protein product	Approved	19p13.2	19p13.2	NA	NA	NA	NA	Myosins, class I	1097	1996-04-04	NA	NA	2016-10-05	4542	OTTHUMG00000156005	uc002mkg.4	X98411	NM_001348355	CCDS42494	O00160	9119401|8884266	MGI:107711	RGD:1309750	NA	MYO1F	601480	NA	NA	NA	NA	470714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr19:14574478-14574554	PKN1	NO	chr19:14574478-14574554	chr19	14574478	14574554	chr19	77	*	polyA	ENSG00000123143.8	+	0	0	0	1	0	0	0	strictExonic	chr19:14574478-14574554	ENSG00000123143	PKN1	HGNC:9405	PKN1	protein kinase N1	protein-coding gene	gene with protein product	Approved	19p13.12	19p13.12	DBK|PRK1|PKN|MGC46204|PAK1	NA	PRKCL1	protein kinase C-like 1	C2 domain containing protein kinases|AGC family kinases	835|1625	1997-10-10	2004-07-01	2004-07-01	2014-11-19	5585	OTTHUMG00000039611	uc002myp.4	S75546	NM_002741|NM_213560	CCDS42513|CCDS42514	Q16512	9570957	MGI:108022	RGD:69308	NA	PKN1	601032	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:1520	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr17:19281171-19281281	MAPK7	NO	chr17:19281171-19281281	chr17	19281171	19281281	chr17	111	*	polyA	ENSG00000166484.15	+	0	0	2	0	0	0	1	promoter	chr17:19281171-19281281	ENSG00000166484	MAPK7	HGNC:6880	MAPK7	mitogen-activated protein kinase 7	protein-coding gene	gene with protein product	Approved	17p11.2	17p11.2	BMK1|ERK5	BMK1 kinase|extracellular-signal-regulated kinase 5	PRKM7	NA	Mitogen-activated protein kinases|Armadillo-like helical domain containing	651|1492	1998-04-28	NA	NA	2014-11-19	5598	OTTHUMG00000059587	uc002gvn.4	U25278	NM_139033	CCDS11206|CCDS11207	Q13164	10072598|7759517	MGI:1346347	RGD:621505	NA	MAPK7	602521	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:2093	NA	NA	NA	NA	2.7.11.24	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr2:24929436-24930757	NCOA1	NO	chr2:24929436-24930757	chr2	24929436	24930757	chr2	1322	*	polyA	ENSG00000084676.11	+	0	0	0	1	0	0	1	strictExonic	chr2:24929436-24930757	ENSG00000084676	NCOA1	HGNC:7668	NCOA1	nuclear receptor coactivator 1	protein-coding gene	gene with protein product	Approved	2p23.3	02p23.3	SRC1|F-SRC-1|NCoA-1|KAT13A|RIP160|bHLHe74	NA	NA	NA	Basic helix-loop-helix proteins|Lysine acetyltransferases	420|486	1999-12-17	NA	NA	2016-10-05	8648	OTTHUMG00000125523	uc002rfk.4	U40396	NM_147223	CCDS1712|CCDS1713|CCDS42660	Q15788	7481822|9575154	MGI:1276523	RGD:1309046	NA	NCOA1	602691	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:2693	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr17:4638386-4638803	CXCL16	NO	chr17:4638386-4638803	chr17	4638386	4638803	chr17	418	*	polyA	ENSG00000161921.10	-	0	0	0	1	0	1	0	exonIntron	chr17:4638386-4638803	ENSG00000161921	CXCL16	HGNC:16642	CXCL16	C-X-C motif chemokine ligand 16	protein-coding gene	gene with protein product	Approved	17p13.2	17p13.2	SR-PSOX|CXCLG16|SRPSOX	CXC chemokine ligand 16	NA	chemokine (C-X-C motif) ligand 16	Chemokine ligands|Endogenous ligands|Scavenger receptors	483|542|1253	2001-09-21	NA	2016-03-01	2016-10-05	58191	OTTHUMG00000090761	uc002fyr.6	AF275260	NM_022059	CCDS11052	Q9H2A7	11017100|11060282	MGI:1932682	RGD:1562928	NA	CXCL16	605398	NA	NA	NA	NA	NA	NA	NA	NA	NA	ligandId:855	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr5:139059948-139061032	CXXC5	NO	chr5:139059948-139061032	chr5	139059948	139061032	chr5	1085	*	polyA	ENSG00000171604.7	+	0	0	1	1	0	0	1	strictExonic	chr5:139059948-139061032	ENSG00000171604	CXXC5	HGNC:26943	CXXC5	CXXC finger protein 5	protein-coding gene	gene with protein product	Approved	5q31.2	05q31.2	HSPC195|RINF|WID	retinoid-inducible nuclear factor|WT1-induced Inhibitor of Dishevelled	NA	NA	Zinc fingers CXXC-type	136	2004-02-18	NA	2011-12-01	2016-10-05	51523	OTTHUMG00000163331	uc010jfg.2	AK024338	NM_016463	CCDS43370	Q7LFL8	11042152|19001364|19182210|20220130	MGI:1914643	RGD:1359466	NA	CXXC5	612752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr12:6909237-6909353	CD4	NO	chr12:6909237-6909353	chr12	6909237	6909353	chr12	117	*	polyA	ENSG00000010610.5	+	0	0	1	1	0	1	0	exonIntron	chr12:6909237-6909353	ENSG00000010610	CD4	HGNC:1678	CD4	CD4 molecule	protein-coding gene	gene with protein product	Approved	12p13.31	12p13.31	NA	NA	NA	CD4 antigen (p55)|T-cell surface glycoprotein CD4	CD molecules|V-set domain containing|C2-set domain containing	471|590|592	1986-01-01	NA	2006-03-28	2014-11-18	920	OTTHUMG00000168514	uc001qqv.3	M35160	NM_000616	CCDS8562	P01730	NA	MGI:88335	RGD:2306	NA	CD4	186940	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:2995	NA	NA	CD4	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr21:46305867-46306345	ITGB2	NO	chr21:46305867-46306345	chr21	46305867	46306345	chr21	479	*	polyA	ENSG00000160255.12	-	0	1	0	0	1	0	0	strictIntergenic	chr21:46305867-46306345	ENSG00000160255	ITGB2	HGNC:6155	ITGB2	integrin subunit beta 2	protein-coding gene	gene with protein product	Approved	21q22.3	21q22.3	LFA-1|MAC-1	complement component 3 receptor 3 and 4 subunit	CD18|MFI7	integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit)|integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	CD molecules|Integrin beta subunits|Complement system regulators and receptors	471|1159|1639	1986-01-01	NA	2015-12-15	2018-12-06	3689	OTTHUMG00000090257	uc002zgf.5	AK222505	NM_000211	CCDS13716	P05107	NA	MGI:96611	RGD:1305581	ITGB2base: Mutation registry for Leukocyte adhesion deficiency I (LAD-I)|http://structure.bmc.lu.se/idbase/ITGB2base/|LRG_76|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_76.xml	ITGB2	600065	NA	NA	NA	NA	122698	NA	NA	NA	NA	objectId:2456	NA	NA	CD18	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr9:96233422-96233702	FAM120A	NO	chr9:96233422-96233702	chr9	96233422	96233702	chr9	281	*	polyA	ENSG00000048828.12	+	0	0	0	1	0	2	0	exonIntron	chr9:96233422-96233702	ENSG00000048828	FAM120A	HGNC:13247	FAM120A	family with sequence similarity 120A	protein-coding gene	gene with protein product	Approved	9q22.31	09q22.31	KIAA0183|OSSA	oxidative stess-associated Src activator	C9orf10	chromosome 9 open reading frame 10	NA	NA	2002-10-09	2006-07-04	2006-07-04	2017-07-12	23196	OTTHUMG00000020252	uc004atw.5	AF214737	NM_014612	CCDS6706|CCDS75859	Q9NZB2	14585507|19015244|25896327	MGI:2446163	RGD:1306643	NA	FAM120A	612265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr19:2077979-2078683	MOB3A	NO	chr19:2077979-2078683	chr19	2077979	2078683	chr19	705	*	polyA	ENSG00000172081.9	-	0	0	1	1	0	1	0	exonIntron	chr19:2077979-2078683	ENSG00000172081	MOB3A	HGNC:29802	MOB3A	MOB kinase activator 3A	protein-coding gene	gene with protein product	Approved	19p13.3	19p13.3	MOB1C|MOB-LAK|moblak	MOB LAK	MOBKL2A	MOB1, Mps One Binder kinase activator-like 2A (yeast)	MOB kinase activators	647	2004-02-11	2011-09-28	2011-09-28	2015-09-03	126308	OTTHUMG00000180353	uc002luv.4	AK095471	NM_130807	CCDS12081	Q96BX8	12477932	MGI:3050117	RGD:1308187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr9:115593004-115593163	SNX30	NO	chr9:115593004-115593163	chr9	115593004	115593163	chr9	160	*	polyA	ENSG00000148158.12	+	0	0	0	1	0	1	0	exonIntron	chr9:115593004-115593163	ENSG00000148158	SNX30	HGNC:23685	SNX30	sorting nexin family member 30	protein-coding gene	gene with protein product	Approved	9q32	09q32	ATG24A	NA	NA	NA	Sorting nexins|Autophagy related|PX-BAR domain containing	754|1022|1290	2005-10-06	NA	NA	2016-10-05	401548	OTTHUMG00000020512	uc004bgj.5	AK126644	NM_001012994	CCDS43865	Q5VWJ9	NA	MGI:2443882	RGD:1311367	NA	SNX30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr17:27902829-27902916	GIT1	NO	chr17:27902829-27902916	chr17	27902829	27902916	chr17	88	*	polyA	ENSG00000108262.11	-	0	0	0	1	0	2	0	exonIntron	chr17:27902829-27902916	ENSG00000108262	GIT1	HGNC:4272	GIT1	GIT ArfGAP 1	protein-coding gene	gene with protein product	Approved	17q11.2	17q11.2	NA	NA	NA	G protein-coupled receptor kinase interactor 1|G protein-coupled receptor kinase interacting ArfGAP 1	ArfGAPs|Ankyrin repeat domain containing	395|403	2000-07-31	NA	2016-03-14	2016-10-05	28964	OTTHUMG00000132730	uc002hef.3	AF124490	NM_014030	CCDS11250|CCDS42290	Q9Y2X7	9826657|10896954	MGI:1927140	RGD:69331	NA	GIT1	608434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr11:74978695-74978747	ARRB1	NO	chr11:74978695-74978747	chr11	74978695	74978747	chr11	53	*	polyA	ENSG00000137486.12	-	0	0	0	1	0	1	0	exonIntron	chr11:74978695-74978747	ENSG00000137486	ARRB1	HGNC:711	ARRB1	arrestin beta 1	protein-coding gene	gene with protein product	Approved	11q13.4	11q13.4	NA	arrestin 2	ARR1	arrestin, beta 1	Classical arrestins	1312	1994-01-10	NA	2016-03-30	2016-10-05	408	OTTHUMG00000165444	uc001owf.3	BC003636	NM_004041	CCDS31640|CCDS44684	P49407	8486659	MGI:99473	RGD:2156	NA	ARRB1	107940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr9:96305503-96305753	FAM120A	NO	chr9:96305503-96305753	chr9	96305503	96305753	chr9	251	*	polyA	ENSG00000048828.12	+	0	0	0	1	0	1	0	exonIntron	chr9:96305503-96305753	ENSG00000048828	FAM120A	HGNC:13247	FAM120A	family with sequence similarity 120A	protein-coding gene	gene with protein product	Approved	9q22.31	09q22.31	KIAA0183|OSSA	oxidative stess-associated Src activator	C9orf10	chromosome 9 open reading frame 10	NA	NA	2002-10-09	2006-07-04	2006-07-04	2017-07-12	23196	OTTHUMG00000020252	uc004atw.5	AF214737	NM_014612	CCDS6706|CCDS75859	Q9NZB2	14585507|19015244|25896327	MGI:2446163	RGD:1306643	NA	FAM120A	612265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr2:160706872-160706978	LY75-CD302	NO	chr2:160706872-160706978	chr2	160706872	160706978	chr2	107	*	polyA	ENSG00000248672.1	-	0	0	0	1	0	1	0	exonIntron	chr2:160706872-160706978	ENSG00000248672	LY75-CD302	HGNC:38828	LY75-CD302	LY75-CD302 readthrough	other	readthrough	Approved	2q24.2	02q24.2	NA	NA	NA	NA	NA	NA	2011-04-19	NA	NA	2014-11-19	100526664	OTTHUMG00000161661	uc002ubb.5	NA	NM_001198759	CCDS56140|CCDS56141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr1:32384570-32385259	PTP4A2	NO	chr1:32384570-32385259	chr1	32384570	32385259	chr1	690	*	polyA	ENSG00000184007.13	-	0	0	1	1	0	0	1	strictExonic	chr1:32384570-32385259	ENSG00000184007	PTP4A2	HGNC:9635	PTP4A2	protein tyrosine phosphatase type IVA, member 2	protein-coding gene	gene with protein product	Approved	1p35.2	01p35.2	HU-PP-1|PTPCAAX2|OV-1|ptp-IV1a|PRL-2|PRL2	phosphatase of regenerating liver 2	PTP4A	NA	Protein tyrosine phosphatases type IVA	899	1996-03-14	NA	NA	2017-10-17	8073	OTTHUMG00000003801	uc001bty.2	L48723	NM_080391	CCDS348|CCDS53292|CCDS59193	Q12974	8661118|9514946	MGI:1277117	RGD:619786	NA	PTP4A2	601584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr1:161561918-161562032	FCGR2C	NO	chr1:161561918-161562032	chr1	161561918	161562032	chr1	115	*	polyA	ENSG00000244682.3	+	0	0	0	1	0	1	1	exonIntron	chr1:161561918-161562032	ENSG00000244682	FCGR2C	HGNC:15626	FCGR2C	Fc fragment of IgG receptor IIc (gene/pseudogene)	protein-coding gene	gene with protein product	Approved	1q23.3	01q23.3	hFcRII-C|CD32C	Fc gamma receptor IIc	NA	Fc fragment of IgG, low affinity IIc, receptor for (CD32)|Fc fragment of IgG, low affinity IIc, receptor for (CD32) (gene/pseudogene)	CD molecules	471	2005-06-24	NA	2016-01-13	2016-10-05	9103	OTTHUMG00000074101	uc057msv.1	X17653	NM_201563	NA	P31995	2531080	NA	NA	NA	FCGR2C	612169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CD32C	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr5:135396522-135396625	TGFBI	NO	chr5:135396522-135396625	chr5	135396522	135396625	chr5	104	*	polyA	ENSG00000120708.12	+	0	1	0	0	0	0	1	promoter	chr5:135396522-135396625	ENSG00000120708	TGFBI	HGNC:11771	TGFBI	transforming growth factor beta induced	protein-coding gene	gene with protein product	Approved	5q31.1	05q31.1	BIGH3|CDB1|CDGG1	NA	CSD3|LCD1|CSD1|CSD2	transforming growth factor, beta-induced, 68kD|transforming growth factor, beta-induced, 68kDa	NA	NA	1995-07-18	NA	2015-11-16	2016-10-05	7045	OTTHUMG00000163213	uc003lbf.5	M77349	NM_000358	CCDS47266	Q15582	9463327	MGI:99959	RGD:620017	NA	TGFBI	601692	NA	NA	NA	NA	120056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr22:21330503-21330595	AIFM3	NO	chr22:21330503-21330595	chr22	21330503	21330595	chr22	93	*	polyA	ENSG00000183773.11	+	0	1	0	1	0	0	1	strictExonic	chr22:21330503-21330595	ENSG00000183773	AIFM3	HGNC:26398	AIFM3	apoptosis inducing factor, mitochondria associated 3	protein-coding gene	gene with protein product	Approved	22q11.21	22q11.21	AIFL|FLJ30473	NA	NA	apoptosis-inducing factor, mitochondrion-associated, 3	NA	NA	2006-11-16	NA	2015-11-19	2015-11-19	150209	OTTHUMG00000150804	uc002ztj.3	AK094844	NM_144704	CCDS13786|CCDS33605|CCDS54503	Q96NN9	15764604	MGI:1919418	RGD:1306028	NA	AIFM3	617298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr15:65262451-65262560	SPG21	NO	chr15:65262451-65262560	chr15	65262451	65262560	chr15	110	*	polyA	ENSG00000090487.6	-	0	1	1	1	0	1	0	exonIntron	chr15:65262451-65262560	ENSG00000090487	SPG21	HGNC:20373	SPG21	SPG21, maspardin	protein-coding gene	gene with protein product	Approved	15q22.31	15q22.31	ACP33|GL010|BM-019|MAST	NA	NA	spastic paraplegia 21 (autosomal recessive, Mast syndrome)	NA	NA	2004-04-30	NA	2017-02-01	2017-02-01	51324	OTTHUMG00000133098	uc002aoe.5	AF208861	NM_016630	CCDS10198|CCDS45279	Q9NZD8	11113139|14564668	MGI:106403	RGD:1359141	NA	SPG21	608181	NA	NA	NA	NA	119815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr1:12023588-12023693	PLOD1	NO	chr1:12023588-12023693	chr1	12023588	12023693	chr1	106	*	polyA	ENSG00000083444.12	+	0	0	0	1	0	0	1	strictExonic	chr1:12023588-12023693	ENSG00000083444	PLOD1	HGNC:9081	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	protein-coding gene	gene with protein product	Approved	1p36.22	01p36.22	LH1	lysyl hydroxlase 1	LLH|PLOD	procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase, Ehlers-Danlos syndrome type VI)	NA	NA	1991-07-11	2004-12-14	2016-04-06	2016-04-06	5351	OTTHUMG00000002393	uc001atm.4	BC016657	NM_000302	CCDS142	Q02809	1577494	MGI:99907	RGD:621382	NA	PLOD1	153454	NA	NA	NA	NA	117888	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14.11.4	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr4:8216456-8216573	SH3TC1	NO	chr4:8216456-8216573	chr4	8216456	8216573	chr4	118	*	polyA	ENSG00000125089.12	+	0	0	0	0	0	0	1	promoter	chr4:8216456-8216573	ENSG00000125089	SH3TC1	HGNC:26009	SH3TC1	SH3 domain and tetratricopeptide repeats 1	protein-coding gene	gene with protein product	Approved	4p16.1	04p16.1	FLJ20356	NA	NA	NA	Tetratricopeptide repeat domain containing	769	2004-01-08	NA	NA	2015-09-02	54436	OTTHUMG00000160934	uc003gkv.5	AK074093	NM_018986	CCDS3399	Q8TE82	NA	MGI:2678949	RGD:1305610	NA	SH3TC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr6:30644217-30645065	PPP1R18	NO	chr6:30644217-30645065	chr6	30644217	30645065	chr6	849	*	polyA	ENSG00000146112.7	-	0	1	0	1	0	0	0	strictExonic	chr6:30644217-30645065	ENSG00000146112	PPP1R18	HGNC:29413	PPP1R18	protein phosphatase 1 regulatory subunit 18	protein-coding gene	gene with protein product	Approved	6p21.33	06p21.33	phostensin	protein phosphatase 1 F-actin cytoskeleton targeting subunit	KIAA1949	KIAA1949|protein phosphatase 1, regulatory subunit 18	Protein phosphatase 1 regulatory subunits	694	2004-03-02	2011-10-11	2015-11-18	2016-10-05	170954	OTTHUMG00000031237	uc003nrb.4	AK097089	NM_133471	CCDS43444	Q6NYC8	11853319	MGI:1923698	RGD:1309543	NA	NA	610990	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr12:40704232-40704451	LRRK2	NO	chr12:40704232-40704451	chr12	40704232	40704451	chr12	220	*	polyA	ENSG00000188906.9	+	0	1	0	0	0	1	0	strictIntronic	chr12:40704232-40704451	ENSG00000188906	LRRK2	HGNC:18618	LRRK2	leucine rich repeat kinase 2	protein-coding gene	gene with protein product	Approved	12q12	12q12	ROCO2|DKFZp434H2111|FLJ45829|RIPK7	NA	PARK8	Parkinson disease (autosomal dominant) 8	Parkinson disease associated genes|Roco domain containing|Armadillo-like helical domain containing	672|1421|1492	2004-10-22	NA	2016-06-06	2018-11-16	120892	OTTHUMG00000059742	uc001rmg.5	AK026776	NM_198578	CCDS31774	Q5S007	15541308	MGI:1913975	RGD:1561168	Parkinson's disease Mutation Database|http://grenada.lumc.nl/LOVD2/TPI/home.php?select_db=LRRK2	LRRK2	609007	NA	NA	NA	NA	123301	NA	NA	NA	NA	objectId:2059	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr14:50358660-50363752	ARF6	NO	chr14:50358660-50363752	chr14	50358660	50363752	chr14	5093	*	polyA	ENSG00000165527.5	+	0	1	2	1	1	0	2	extendUTR	chr14:50358660-50363752	ENSG00000165527	ARF6	HGNC:659	ARF6	ADP ribosylation factor 6	protein-coding gene	gene with protein product	Approved	14q21.3	14q21.3	NA	NA	NA	NA	ARF GTPase family	357	1994-02-01	NA	2015-11-19	2015-11-19	382	OTTHUMG00000140296	uc001wxg.5	NA	NM_001663	CCDS9695	P62330	1993656|10343114	MGI:99435	RGD:621279	NA	ARF6	600464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr1:231093969-231094045	TTC13	NO	chr1:231093969-231094045	chr1	231093969	231094045	chr1	77	*	polyA	ENSG00000143643.8	-	0	0	0	1	0	1	0	exonIntron	chr1:231093969-231094045	ENSG00000143643	TTC13	HGNC:26204	TTC13	tetratricopeptide repeat domain 13	protein-coding gene	gene with protein product	Approved	1q42.2	01q42.2	FLJ22584	NA	NA	NA	Tetratricopeptide repeat domain containing	769	2003-12-22	NA	NA	2016-04-25	79573	OTTHUMG00000037788	uc001huf.5	NA	NM_024525	CCDS1588|CCDS44332	Q8NBP0	NA	MGI:2384573	RGD:1310186	NA	TTC13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr19:10334716-10335565	S1PR2	NO	chr19:10334716-10335565	chr19	10334716	10335565	chr19	850	*	polyA	ENSG00000267534.1	-	0	0	0	1	0	0	0	strictExonic	chr19:10334716-10335565	ENSG00000267534	S1PR2	HGNC:3169	S1PR2	sphingosine-1-phosphate receptor 2	protein-coding gene	gene with protein product	Approved	19p13.2	19p13.2	Gpcr13|H218|AGR16	NA	EDG5|DFNB68	endothelial differentiation, sphingolipid G-protein-coupled receptor, 5|deafness, autosomal recessive 68	Sphingosine 1-phosphate receptors|Deafness associated genes	206|1152	1999-03-09	2008-04-30	2008-04-30	2016-10-13	9294	OTTHUMG00000180399	uc002mnl.3	AF034780	NM_004230	CCDS12229	O95136	8087418|8878560|26805784	MGI:99569	RGD:68334	NA	S1PR2	605111	NA	NA	NA	NA	454902	NA	NA	NA	NA	objectId:276	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr5:149783377-149784437	CD74	NO	chr5:149783377-149784437	chr5	149783377	149784437	chr5	1061	*	polyA	ENSG00000019582.10	-	0	1	0	1	0	2	0	exonIntron	chr5:149783377-149784437	ENSG00000019582	CD74	HGNC:1697	CD74	CD74 molecule	protein-coding gene	gene with protein product	Approved	5q33.1	05q33.1	NA	HLA-DR-gamma|Ia-associated invariant chain|gamma chain of class II antigens|MHC HLA-DR gamma chain	DHLAG	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)|CD74 molecule, major histocompatibility complex, class II invariant chain	CD molecules	471	1986-01-01	NA	2016-01-06	2016-10-05	972	OTTHUMG00000163559	uc003lse.4	NA	NM_004355	CCDS34276|CCDS47308|CCDS47309	P04233	6324166|3001652	MGI:96534	RGD:2313	NA	CD74	142790	NA	NA	NA	NA	NA	NA	NA	I31.002	NA	objectId:2840	NA	NA	CD74	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
